"course_name","course_rating","course_provider","course_review_num","course_terms"
"How to Make Professional Looking Cooking Videos",10,"Udemy","40","how to make profession look cook video"
"Google AdWords for Beginners",10,"Udemy","42","googl adword for beginn"
"Learn to Speak: Conversational French - Full Course",10,"Udemy","40","learn to speak convers french full cours"
"Adobe Audition CC Audio Production Course Basics to Expert",10,"Udemy","42","adob audit cc audio product cours basic to expert"
"AngularJS JumpStart with Dan Wahlin",10,"Udemy","42","angularj jumpstart with dan wahlin"
"Beginner Nikon Digital SLR (DSLR) Photography",10,"Udemy","42","beginn nikon digit slr dslr photographi"
"Use YouTube to Rank #1 Google Overnite: YouTube for Business",10,"Udemy","40","use youtub to rank googl overnit youtub for busi"
"How To Start A Mastermind Group To Create The Work You Love",10,"Udemy","40","how to start a mastermind group to creat the work you love"
"Master Your ADHD Brain!",10,"Udemy","40","master your adhd brain"
"Learn Android Lollipop Development. Create Java Android Apps",10,"Udemy","39","learn android lollipop develop creat java android app"
"Double Your Confidence & Self Esteem - Complete Blueprint",10,"Udemy","39","doubl your confid self esteem complet blueprint"
"Become a Better and Funnier Speaker",10,"Udemy","40","becom a better and funnier speaker"
"Programming Languages",10,"Coursera","39","program languag"
"Makeup, Hair and Beauty Genius, by Marie Claire",10,"Udemy","40","makeup hair and beauti genius by mari clair"
"Computer Repair - A Guide For Beginners",10,"Udemy","40","comput repair a guid for beginn"
"ClickMinded Search Engine Optimization Training",10,"Udemy","40","clickmind search engin optim train"
"English punctuation made easy",10,"Udemy","38","english punctuat made easi"
"Linear and Integer Programming",10,"Coursera","39","linear and integ program"
"Design for Engagement - How to Design So People Take Action",10,"Udemy","38","design for engag how to design so peopl take action"
"Learn to Make iPhone Apps with Objective C for iOS7",10,"Udemy","37","learn to make iphon app with object c for io"
"Real Estate Investing: Investment Analysis Made Easy",10,"Udemy","38","real estat invest invest analysi made easi"
"How To Audition For Film And Television: Audition Bootcamp",10,"Udemy","37","how to audit for film and televis audit bootcamp"
"Massive Tutorial: Master NI's """"Massive"""" in One Week",10,"Udemy","37","massiv tutori master ni s massiv in one week"
"Beyond PowerPoint: Teach Online With ScreenFlow (v4) For Mac",10,"Udemy","38","beyond powerpoint teach onlin with screenflow v for mac"
"Excel Deep Dive: Pivot Tables Workshop with the Office Ninja",10,"Udemy","38","excel deep dive pivot tabl workshop with the offic ninja"
"How to Make Awesome Videos in PowerPoint for Video Marketing",10,"Udemy","39","how to make awesom video in powerpoint for video market"
"Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month",10,"Udemy","37","learn to build beauti html and css websit in month"
"Become a Coffee Expert",10,"Udemy","36","becom a coffe expert"
"How The Economy Really Works",10,"Udemy","36","how the economi realli work"
"Start Now with Bootstrap 3 | Ebook Included",10,"Udemy","35","start now with bootstrap ebook includ"
"Learn Linux in 5 Days and Level Up Your Career",10,"Udemy","36","learn linux in day and level up your career"
"Marketing: How to Market Yourself as a Coach or Consultant",10,"Udemy","35","market how to market yourself as a coach or consult"
"Publish Your Book On Kindle",10,"Udemy","35","publish your book on kindl"
"Git Going Fast: One Hour Git Crash Course",10,"Udemy","37","git go fast one hour git crash cours"
"CPA Secrets: How I Make $6,000+ A Month - Very Effective",10,"Udemy","36","cpa secret how i make a month veri effect"
"Pianoforall - Incredible New Way To Learn Piano & Keyboard",10,"Udemy","37","pianoforal incred new way to learn piano keyboard"
"How to Get Hired - for Graduates",10,"Udemy","35","how to get hire for graduat"
"Productivity for Mac Users: 10x Your Productivity",10,"Udemy","34","product for mac user x your product"
"The Ultimate Web Development Course",10,"Udemy","34","the ultim web develop cours"
"Master College Admissions: The Common Application",10,"Udemy","34","master colleg admiss the common applic"
"International Human Rights",10,"edX","34","inter human right"
"The Online Marketing Crash Course: Traffic, Leads & Clients",10,"Udemy","34","the onlin market crash cours traffic lead client"
"How to: Create an Investable Pitch",10,"Udemy","34","how to creat an invest pitch"
"Beginner Photoshop to HTML5 and CSS3",10,"Udemy","34","beginn photoshop to html and css"
"Salesforce New User Training",10,"Udemy","35","salesforc new user train"
"How To Build 'Kick Ass' Confidence And Lasting Self-Esteem",10,"Udemy","35","how to build kick ass confid and last self esteem"
"Introduction to Mobile Games Development with Gamesalad",10,"Udemy","32","introduct to mobil game develop with gamesalad"
"Aquaponic Gardening: Growing Fish and Vegetables Together",10,"Udemy","32","aquapon garden grow fish and veget togeth"
"DropShipping: Make Fast And Easy Sales DropShipping On eBay",10,"Udemy","33","dropship make fast and easi sale dropship on ebay"
"Circuits and Electronics 1: Basic Circuit Analysis",10,"edX","32","circuit and electron basic circuit analysi"
